detection_idx,pulse_index,pulse_time_s,hemisphere,detection_channel,ch2_amplitude,ch2_relevant,ch4_amplitude,ch4_relevant,ch7_amplitude,ch7_relevant,ch8_amplitude,ch8_relevant,ch9_amplitude,ch9_relevant,ch11_amplitude,ch11_relevant
130,877806,438.903,healthy,2,3.884817565175192,True,4.38404924796404,True,6.662059488886678,True,6.499276004492602,False,4.908272787059329,False,4.131829436614691,False
131,880438,440.219,healthy,2,6.766627751935667,True,3.0207498223801843,True,4.274615858310957,True,4.643171740075731,False,5.486727203616317,False,4.785988451548405,False
132,884266,442.133,healthy,2,3.3619042185916106,True,2.853360974859589,True,3.1225458839353166,True,1.8296442662597334,False,3.563208358009294,False,6.099612306983373,False
133,928155,464.0775,healthy,2,2.2715862452624958,True,2.420441144599493,True,2.6547549539154467,True,1.813357906141714,False,9.737765911561306,False,12.49297845360274,False
134,932250,466.125,healthy,2,12.584264731724996,True,14.699363181425394,True,9.936265265072768,True,23.149165370223795,False,12.687428809591745,False,33.28058129958866,False
135,936233,468.1165,healthy,2,3.2237756176214223,True,2.4550364218791962,True,3.1397374112156995,True,4.5001256895406145,False,5.478180205111394,False,6.726588630288797,False
136,938252,469.126,healthy,2,13.72981285306987,True,15.499215174511013,True,9.866016305275997,True,22.48550950911944,False,14.250594919908915,False,37.19778708996388,False
137,942141,471.0705,healthy,2,16.0502311400306,True,16.516273932175565,True,161.4747253792554,True,34.44633457362218,False,16.13094361408441,False,29.78304421086289,False
138,945010,472.505,healthy,2,12.43896115804727,True,14.429342641726365,True,37.671720514352046,True,33.06750606520423,False,18.75341732534198,False,24.704905985854865,False
139,948550,474.275,healthy,2,13.653606738995656,True,28.01781187489844,True,99.5940366142193,True,32.3011104809797,False,17.31806250129918,False,25.822005826590278,False
140,954784,477.392,healthy,2,13.087227845214365,True,20.201025235754734,True,129.13849601145319,True,32.532761488694874,False,18.886121900777944,False,33.79662131045618,False
141,959417,479.7085,healthy,2,4.903799318375296,True,4.053650414918442,True,3.3325137153160584,True,8.493237282281504,False,6.549704857135228,False,10.072387354028724,False
142,969996,484.998,healthy,2,14.800215047069912,True,21.41252421932147,True,69.27828606206651,True,35.13859837052231,False,20.00766397889214,False,39.20820953463809,False
143,974748,487.374,healthy,2,2.5981499048389782,True,3.371782536902616,True,3.526761435698536,True,2.8859809743964275,False,5.406601603926747,False,5.075411212429903,False
144,982136,491.068,healthy,2,2.8447058002260905,True,1.8866964981606102,True,3.213862153080287,True,1.768261045282438,False,3.0758928986213485,False,6.068298364577052,False
145,988342,494.171,healthy,2,14.029856231465967,True,15.386484060471615,True,235.77893073618208,True,31.294211531911863,False,16.926943091867756,False,23.730791802181642,False
146,993187,496.5935,healthy,2,11.255234403849881,True,23.722597963418192,True,69.02259073043433,True,34.237609830743345,False,14.599875865615132,False,40.6557621300993,False
147,998431,499.2155,healthy,2,11.577506400113467,True,19.187523929474445,True,99.08868766869216,True,32.482014986628535,False,23.49152369831679,False,32.17120705140433,False
148,1002608,501.304,healthy,2,12.966736649282172,True,32.898774531195194,True,142.85272636541848,True,29.57217736471935,False,14.846776610170531,False,31.771676964193464,False
149,1007744,503.872,healthy,2,12.607174666097778,True,16.359451445804645,True,15.168642091981416,True,34.943234459734555,False,24.791308448936306,False,37.73132386925084,False
150,1009958,504.979,healthy,2,14.622922176684959,True,35.78130204063425,True,102.62599677790664,True,30.74557351517453,False,16.934861517973143,False,29.576226262680816,False
151,1017581,508.7905,healthy,2,19.371705930196484,True,14.182562916226015,True,66.14927847962603,True,27.220776308816,False,21.935070701905204,False,31.12446419626334,False
152,1023177,511.5885,healthy,2,13.325278467114298,True,21.411770716592414,True,14.061218938687112,True,34.23394259354848,False,11.503029930239991,False,33.222456106326185,False
153,1057314,528.657,healthy,2,7.934520571656898,True,3.9236917081507876,True,3.8652726693407127,True,2.5778281683651394,False,2.3884738491051896,False,14.294686492723372,False
154,1065113,532.5565,healthy,2,3.0975196613341867,True,2.7520584699394606,True,3.0812520324758492,True,1.950780888012577,False,7.492905789988091,False,4.904603724502338,False
