timestamp_s,TMS Pulse,Date,Time,M1 Location,,,
993.3999999,225,11/5/2024,12:15:39.3 PM,Ra1,,,
995,226,11/5/2024,12:15:40.9 PM,Ra1,,,
1029.2,227,11/5/2024,12:16:15.1 PM,Ra1,,,
1031,228,11/5/2024,12:16:16.9 PM,Ra1,,,
1033.2,229,11/5/2024,12:16:19.1 PM,Ra1,,,
1036.6,230,11/5/2024,12:16:22.5 PM,Ra1,,,
1039.3,231,11/5/2024,12:16:25.2 PM,Ra1,,,
1042.1,232,11/5/2024,12:16:28.0 PM,Ra1,,,
1044.8,233,11/5/2024,12:16:30.7 PM,Ra1,,,
1046.7,234,11/5/2024,12:16:32.6 PM,Ra1,,,
1049.1,235,11/5/2024,12:16:35.0 PM,Ra1,,,
1051.9,236,11/5/2024,12:16:37.8 PM,Ra1,,,
1055.5,237,11/5/2024,12:16:41.4 PM,Ra1,,,
1059.4,238,11/5/2024,12:16:45.3 PM,Ra1,,,
1061.4,239,11/5/2024,12:16:47.3 PM,Ra1,,,
1067,240,11/5/2024,12:16:52.9 PM,Ra1,,,
1077.7,241,11/5/2024,12:17:03.6 PM,Ra1,,,
1080.1,242,11/5/2024,12:17:06.0 PM,Ra1,,,
1082.5,243,11/5/2024,12:17:08.4 PM,Ra1,,,
1093.3,244,11/5/2024,12:17:19.2 PM,Ra1,,,
1094.2,245,11/5/2024,12:17:20.1 PM,Ra1,,,
1095.8,246,11/5/2024,12:17:21.7 PM,Ra1,,,
1097.8,247,11/5/2024,12:17:23.7 PM,Ra1,,,
1098.7,248,11/5/2024,12:17:24.6 PM,Ra1,,,
1100.5,249,11/5/2024,12:17:26.4 PM,Ra1,,,
1102.8,250,11/5/2024,12:17:28.7 PM,Ra1,,,
1105.7,251,11/5/2024,12:17:31.6 PM,Ra1,,,
1108.9,252,11/5/2024,12:17:34.8 PM,Ra1,,,
1125.3,253,11/5/2024,12:17:51.2 PM,Ra1,,,
1127.5,254,11/5/2024,12:17:53.4 PM,Ra1,,,
1128.5,255,11/5/2024,12:17:54.4 PM,Ra1,,,
1130,256,11/5/2024,12:17:55.9 PM,Ra1,,,
1131.8,257,11/5/2024,12:17:57.7 PM,Ra1,,,
1134.3,258,11/5/2024,12:18:00.2 PM,Ra1,,,
1136.5,259,11/5/2024,12:18:02.4 PM,Ra1,,,
1138.8,260,11/5/2024,12:18:04.7 PM,Ra1,,,
1197.6,261,11/5/2024,12:19:03.5 PM,Rm2,,,
1200.2,262,11/5/2024,12:19:06.1 PM,Rm2,,,
1202,263,11/5/2024,12:19:07.9 PM,Rm2,,,
1203.8,264,11/5/2024,12:19:09.7 PM,Rm2,,,
1206,265,11/5/2024,12:19:11.9 PM,Rm2,,,
1208.1,266,11/5/2024,12:19:14.0 PM,Rm2,,,
1217.4,267,11/5/2024,12:19:23.3 PM,Rm2,,,
1219.2,268,11/5/2024,12:19:25.1 PM,Rm2,,,
1220.6,269,11/5/2024,12:19:26.5 PM,Rm2,,,
1222.1,270,11/5/2024,12:19:28.0 PM,Rm2,,,
1224,271,11/5/2024,12:19:29.9 PM,Rm2,,,
1226,272,11/5/2024,12:19:31.9 PM,Rm2,,,
1228.4,273,11/5/2024,12:19:34.3 PM,Rm2,,,
1230.7,274,11/5/2024,12:19:36.6 PM,Rm2,,,
1232.8,275,11/5/2024,12:19:38.7 PM,Rm2,,,
1239.5,276,11/5/2024,12:19:45.4 PM,Rm2,,,
1241.7,277,11/5/2024,12:19:47.6 PM,Rm2,,,
1244.1,278,11/5/2024,12:19:50.0 PM,Rm2,,,
1246.5,279,11/5/2024,12:19:52.4 PM,Rm2,,,
1248.9,280,11/5/2024,12:19:54.8 PM,Rm2,,,
1273.7,281,11/5/2024,12:20:19.6 PM,Rm2,,,
