detection_idx,pulse_index,pulse_time_s,phase,detection_channel,ch130_amplitude,ch130_relevant,ch132_amplitude,ch132_relevant,ch135_amplitude,ch135_relevant,ch136_amplitude,ch136_relevant,ch137_amplitude,ch137_relevant,ch139_amplitude,ch139_relevant
102,1332054,666.027,healthy,132,3.93623794518904e-05,True,288.28757707012903,True,290.3856996700174,True,6.71518524330741,False,273.5806567846553,False,1.845892731799983,False
103,1335154,667.577,healthy,132,4.0180994487754325e-05,True,267.97443677980846,True,272.37202100392614,True,7.520540343405789,False,274.7211666223138,False,1.918812912454145,False
104,1338219,669.1095,healthy,132,4.477467519303732e-05,True,291.8488197984089,True,266.44783639072244,True,4.351962164291249,False,286.9755245835967,False,2.719952993750331,False
105,1341327,670.6635,healthy,132,3.936237945493681e-05,True,296.5685199346252,True,285.44231290297193,True,67.88528326733963,False,282.2770554191592,False,34.3817732738748,False
106,1344413,672.2065,healthy,132,4.018099448718214e-05,True,297.02930116895544,True,287.71508965513897,True,6.458354694923099,False,288.1650621531732,False,1.0660035048257606,False
107,1348503,674.2515,healthy,132,3.957848566878719e-05,True,259.5247788840512,True,276.38058007717075,True,9.437140082553489,False,278.4702345931796,False,1.9115044339463072,False
108,1351572,675.786,healthy,132,3.936237945235743e-05,True,272.8427008346553,True,272.41778376271054,True,6.603903849327724,False,283.7356339356885,False,2.689094943098323,False
109,1355665,677.8325,healthy,132,4.018099448718214e-05,True,320.11096959940335,True,320.67163120055613,True,6.098967271034633,False,276.4223636985031,False,2.5703765488318795,False
110,1358779,679.3895,healthy,132,3.6272471548055704e-05,True,240.44921591634898,True,241.31587726883615,True,7.905636940128372,False,234.05042787748891,False,2.7503579199753183,False
111,1362902,681.451,healthy,132,3.957848566878719e-05,True,291.7596750620375,True,282.53692214052603,True,3.910068172261317,False,304.26785929861705,False,1.1628008847709008,False
112,1367058,683.529,healthy,132,3.9578485663739144e-05,True,297.0611507808139,True,285.2319794031433,True,8.1623534760663,False,278.52401784861223,False,2.7514942464887118,False
113,1370179,685.0895,healthy,132,4.412945204099907e-05,True,292.01365965916796,True,303.92920895665054,True,7.45385169629846,False,295.3485723100724,False,1.6408280935133046,False
114,1373372,686.686,healthy,132,4.412945204099907e-05,True,247.3886815445157,True,260.13868305727044,True,4.435107922693597,False,262.92439667167486,False,1.5476679369970403,False
115,1377527,688.7635,healthy,132,4.41294520417574e-05,True,304.4938731275797,True,299.4439414548808,True,9.158129158695697,False,271.60771216012165,False,1.819519896099446,False
116,1381682,690.841,healthy,132,3.964757480508407e-05,True,308.8309229263749,True,313.1851619377178,True,12.477556376638175,False,317.914191087644,False,2.09605242416482,False
117,1385865,692.9325,healthy,132,4.412945204198684e-05,True,265.4506049475176,True,258.45766795195436,True,10.99334354630926,False,257.0956736012383,False,1.475207170624402,False
118,1388982,694.491,healthy,132,3.936237945325963e-05,True,300.8206526662071,True,284.369400817226,True,5.577231787069877,False,296.31837654670807,False,1.9743627303663873,False
119,1393199,696.5995,healthy,132,3.9647574806129474e-05,True,145.63586058048548,True,130.43257375833068,True,5.8970604950478664,False,134.76166136466608,False,2.5404927924802907,False
120,1395548,697.774,stroke,136,3.957848566792706e-05,False,53.81639401737356,False,74.67108795548499,False,50.736234306836835,True,59.78625767676997,True,2.6178287306451433,True
121,1410435,705.2175,stroke,136,3.93623794518904e-05,False,4058.932817481904,False,4018.902138328266,False,462.37779442805834,True,4070.667401572262,True,412.97932207155054,True
122,1414582,707.291,stroke,136,3.936237945325963e-05,False,4312.943656621643,False,4279.622182359801,False,553.1917733518289,True,4320.47472434325,True,237.51822495979718,True
123,1419809,709.9045,stroke,136,4.477467519303732e-05,False,3895.5231303942037,False,3875.250895014686,False,508.920958234546,True,3903.891968095705,True,509.00722735252555,True
124,1430319,715.1595,stroke,136,3.964757480075377e-05,False,4024.768802064919,False,4001.8005731279595,False,528.8924104528738,True,3972.4362918055067,True,163.25536327198247,True
125,1437870,718.935,stroke,136,4.01809944870605e-05,False,4046.738211858675,False,4031.06189403882,False,508.3889387321488,True,4095.172954650406,True,72.95521478369841,True
126,1446512,723.256,stroke,136,4.0180994488321566e-05,False,4075.38904062169,False,4086.617357683118,False,513.2790233713106,True,4057.997182065007,True,132.4106604388673,True
127,1451310,725.655,stroke,136,4.0180994488321566e-05,False,3980.9474150109836,False,3947.333457888863,False,511.84708098854327,True,3955.925470757954,True,38.96209208789247,True
128,1455526,727.763,stroke,136,3.666800532198503e-05,False,4090.4132034495233,False,4063.192055185337,False,515.9216977984937,True,4027.672551845649,True,254.25090406098036,True
129,1459671,729.8355,stroke,136,3.659112486445775e-05,False,4053.611048075163,False,4064.363228810809,False,527.657879297552,True,4044.672630023846,True,104.9648311886268,True
130,1464356,732.178,stroke,136,3.6272471548055704e-05,False,4173.927416179712,False,4177.347652349011,False,551.9132559314132,True,4137.441754706235,True,296.7478363216436,True
131,1501577,750.7885,stroke,136,4.0180994487754325e-05,False,139.628167608098,False,124.56383572812663,False,35.84227077116503,True,103.98183402169664,True,15.940058402589898,True
